customer_id,address,postcode,state,country,property_valuation
2950,984 Hoepker Court,3064,VIC,Australia,6
3120,4 Shopko Circle,2196,NSW,Australia,5
402,586 Miller Parkway,2835,NSW,Australia,1
3135,1617 Harper Parkway,2096,NSW,Australia,10
787,0601 Stephen Place,2292,NSW,Australia,7
2339,7174 Thackeray Point,2153,NSW,Australia,10
1542,243 Mosinee Place,2155,NSW,Australia,10
2459,975 Annamark Hill,4034,QLD,Australia,6
1305,3 School Place,4124,QLD,Australia,4
3262,2558 Morningstar Center,4221,QLD,Australia,8
1986,366 International Way,2170,NSW,Australia,8
2783,13392 Emmet Parkway,2171,NSW,Australia,9
1243,2 Eliot Lane,2155,NSW,Australia,11
2717,6994 Hanson Place,2580,NSW,Australia,5
247,2 2nd Plaza,2283,NSW,Australia,4
2961,8 Roxbury Way,3031,VIC,Australia,8
1842,9649 Cascade Way,2250,NSW,Australia,8
2268,9574 David Lane,3218,VIC,Australia,8
3002,673 Comanche Parkway,2470,NSW,Australia,2
1582,85301 John Wall Road,2101,NSW,Australia,11
595,0278 Elka Place,4305,QLD,Australia,4
2001,3 Bonner Point,2800,NSW,Australia,4
515,12845 Paget Lane,2026,NSW,Australia,12
2822,99216 Oakridge Hill,3124,VIC,Australia,12
2596,33782 Doe Crossing Terrace,2280,NSW,Australia,7
2666,0 Knutson Crossing,2151,NSW,Australia,8
76,439 Ridgeway Court,4213,QLD,Australia,9
3368,2 Roxbury Place,2564,NSW,Australia,8
1173,71 Cherokee Hill,2127,NSW,Australia,7
2810,453 Gina Avenue,3141,VIC,Australia,8
3214,050 Monterey Street,4869,QLD,Australia,3
1272,26 Portage Junction,4503,QLD,Australia,5
2003,064 Fallview Terrace,4500,QLD,Australia,7
2171,6 Tennyson Place,2138,NSW,Australia,9
3356,73 Burrows Court,3121,VIC,Australia,8
1040,27135 Melvin Plaza,4556,QLD,Australia,8
2916,2 Blue Bill Park Lane,4220,QLD,Australia,8
427,1 Carey Pass,2065,NSW,Australia,11
2448,11 Dunning Pass,2219,NSW,Australia,10
2570,457 Merry Pass,4812,QLD,Australia,3
3398,375 Luster Parkway,2147,NSW,Australia,9
488,4671 Buell Trail,3564,Victoria,Australia,2
165,22371 Miller Trail,2032,NSW,Australia,10
2787,3 Cordelia Place,3018,VIC,Australia,9
3053,274 Ludington Trail,2428,NSW,Australia,5
475,781 Dorton Avenue,3012,Victoria,Australia,10
1251,6 Lerdahl Plaza,4519,QLD,Australia,6
3103,32304 Larry Road,4014,QLD,Australia,7
